Place_Id,Place_name,city,category,place_description,rating,label,picture
17,Karangjahe Beach,Rembang,Beach Tourism,"Karang Jahe Beach is a natural tourist attraction in the form of a white sandy beach located in Punjulharjo Village, Rembang Subdistrict, Rembang Regency, Central Java Province, Indonesia. The beach stretches for 3 kilometres and has the distinctive feature of having many small corals shaped like ginger plants, hence the name Karang Jahe Beach. The beach has white sand and calm waves. This beach can be reached by car from the centre of Semarang city towards Surabaya city in 3 hours (125 KM).",4.3,water activities,https://storage.googleapis.com/gonusa_image/pantai-karangjahe.jpg
18,Kura-kura Ocean Park,Jepara,Entertainment,"Kura-Kura Ocean Park adalah wahana wisata keluarga yang terletak di Pantai Kartini, Jepara. Wahana ini diresmikan pada 22 Februari 2011 oleh Bupati Jepara. Wahana: Spa Fish, Aquarium, Mini Theater dan Lounge, Kolam Sentuh. ",4.3,water activities,
19,Panjang Island,Jepara,Natural Tourism,"Panjang Island is a small island located 2.4km from Kartini Beach in Jepara Regency. The island has a lighthouse in the west and inhabited places such as a jetty and a mosque in the east, while the centre is a tropical forest. Panjang Island has white sandy beaches. The vegetation in the coastal area of Panjang Island is covered with mangrove, pine, randu, pandang, putri malu, sea waru and sea kale. The beach area on the east side of Panjang Island has a steep slope. The coastal area on the south side of Panjang Island has a gentle slope.",4.5,water activities,
20,Progo rafting,Magelang,Natural Tourism,"Rafting on the lower Progo River is the most extreme rafting in the Yogyakarta and Magelang area, this rafting can only be done by professionals as the terrain is much more challenging with a higher difficulty level of rapids and relatively dangerous. Although rafting on this river has a higher difficulty level of rapids and is relatively dangerous, Adventure Compass will present rafting on the lower Progo River with standard procedures that have been implemented to create a safe and comfortable rafting atmosphere.",4.5,water activities,
21,Breksi Cliff,Yogyakarta,Natural Tourism,"Breksi Cliff is a tourist attraction located in Sleman Regency. It is located to the south of Prambanan Temple and adjacent to Ijo Temple and Boko Palace Complex. The location of Tebing Breksi Tourism is precisely in Sambirejo Village, Prambanan, Sleman Regency, Yogyakarta Special Region 55572.",4.5,hiking,
22,Becici Pine Peak,Yogyakarta,Natural Tourism,"Becici Pine Peak or Becici Peak is a tourist attraction located in Muntuk Village, Dlingo District, Bantul Regency, Yogyakarta. The scenery in this area is very beautiful with a stretch of hills covered with pine trees and you can see the charm of Yogyakarta City from a height with a viewpoint. From the north you can see Prambanan Temple, from the south you can see a straight line that is the south coast and you can see Mount Merapi and Mount Sindoro.",4.5,hiking,
23,Bukit Bintang Yogyakarta,Yogyakarta,Natural Tourism,"Bukit Bintang is one of the most popular spots in Yogyakarta. Located on the border of Bantul and Gunungkidul, anyone who visits this area can enjoy the stars in the night sky and the city lights from above. The city is home to Bukit Bintang, which is always packed with young people enjoying the beauty of the night. Bukit Bintang is the perfect place to enjoy the sunset until nightfall.",4.5,hiking,
24,Mount Merapi,Yogyakarta,Natural Tourism,"Mount Merapi is a volcano located in the central part of Java Island and is one of the most active volcanoes in Indonesia. The southern slope is within the administration of Sleman Regency, Yogyakarta Special Region, and the rest is within the territory of Central Java Province, namely Magelang Regency on the west side, Boyolali Regency on the north and east sides, and Klaten Regency on the southeast side. The forested area around the summit became Mount Merapi National Park in 2004.",4.4,hiking,
25,Pengger Pine Forest,Yogyakarta,Natural Tourism,"Pengger Pine Forest is one of the main tourist attractions in Bantul Regency. This nature tourism is located in Sendangsari, Terong Village, Dlingo Subdistrict, Bantul Regency, Yogyakarta Special Region.\nThe Pengger Pine Forest is easy to reach as it is located on the side of the Patuk-Dlingo road km 4.5.\nAlthough it still sounds unfamiliar, Pengger Pine Forest is quite popular among travel enthusiasts. This place is still unknown because it was only officially opened on 7 April 2016. This pine forest is very popular among the creators of tourist attractions because this tourist attraction presents a very beautiful natural scenery.",4.5,hiking,
26,Widosari Peak,Yogyakarta,Natural Tourism,"The peak of Widosari is the highest point of the hill called Widosari Hill which is a group of Menoreh Mountains. This peak is located in Tritis, Samigaluh, Kulon Progo. This hill is different with another hill, if we take a closer look, it looks like a human head. On the hill it looks like there is a lump shaped like the eyes, nose and mouth that belong to a human. The facilities at Widosari Hill are quite complete. There are public bathrooms, food and snack stalls, prayer rooms, a spacious parking area, and homestay.",4.6,hiking,
27,Pengilon Hill,Yogyakarta,Natural Tourism,"Bukit Pengilon Gunung Kidul is located in Tepus, Purwodadi, Gunung Kidul. This place is in the same direction as the Watu Lumbung beach path and also the Wedi Ombo Panta. This place is so wide that it even connects 3 beaches at the same time. This place can be reached by four-wheeled or two-wheeled vehicles with a distance of 75 KM from the centre of Yogyakarta. This place is an open nature place and far away from residential areas. This place is the most pleasant camping place.",4.7,hiking,
28,Mongkrang Hill,Karanganyar,Natural Tourism,"Mongkrang Hill is one of the climbing tours for people who want to climb or for beginners as the height is not as high as Mount Lawu. The terrain itself is easy and clear and the travel time is only about an hour. At Bukit Mongkrang, tourists can enjoy the view of Bukit Candi I, Bukit Candi II and Mount Lawu towering to the north. There is also a weed meadow on Mongkrang Hill.",4.8,hiking,
29,Mount Sindoro,Wonosobo,Natural Tourism,"Mount Sindoro is an active volcano. Even so, one of the highest mountains in Central Java is popular with climbers.Mount Sindoro is close to Mount Sumbing. These two mountains are often called twin mountains because of their similarities. When climbing Sindoro, Mount Sumbing will be clearly visible, as well as both of them. The long and challenging route is loved by climbers.",4.6,hiking,https://storage.googleapis.com/gonusa_image/gunung-sindoro.jpeg
30,Mount Prau,Wonosobo,Natural Tourism,"Mount Prau is a mountain in Central Java which has a height of 2,590 meters above sea level (masl). Since September 4 2021, the mountains in the Batang, Kendal, Temanggung and Wonosobo regencies have reopened all their routes after being closed due to the Java-Bali PPKM. Meanwhile, the climbing route for Mount Prau is via Dieng, Patak Banteng, Kalilembu, Igirmranak, Dwarawati and Wates.",4.8,hiking,https://storage.googleapis.com/gonusa_image/gunung-prau.jpg
31,Mount Bismo,Wonosobo,Natural Tourism,"Mount Bismo is one of the favorite destinations for climbers because of its beauty and the relatively easy climbing stages. Behind its beauty, Mount Bismo also holds mystical and mythical things. One of them is the prohibition on wearing yellow clothes when climbing Mount Bismo. Climbers are also not allowed to bring dolls into the mountains. To climb Mount Bismo, there are several routes to choose from and the entrance ticket depends on the climbing route chosen. The average entry ticket registration fee is IDR 25 thousand. This does not include motorbike or car storage costs.",4.8,hiking,https://storage.googleapis.com/gonusa_image/gunung-bismo.jpg
32,Mount Kembang,Wonosobo,Natural Tourism,"Mount Kembang is one of the mountains in the Wonosobo area, Central Java. Going mountain climbing will provide an interesting experience for Moms and family. Apart from enjoying the beauty of the outdoors, climbing mountains will also teach you many things, such as patience and cooperation.",4.4,hiking,https://storage.googleapis.com/gonusa_image/gunung-kembang.jpg
33,Mount Sumbing,Wonosobo,Natural Tourism,"Mount Sumbing or Gunung Sumbing is an active stratovolcano in Central Java, Indonesia, symmetrical like its neighbour Mount Sindoro. The only historical record of an eruption is from 1730. The eruption created a small phreatic crater on the summit. The summit of Mount Sumbing is the confluence of three watersheds, the Progo Valley on the eastern side of the mountain, the Serayu Valley and the Bogowonto Valley on the western side of the mountain. The Progo watershed covers more than 50% of the Sumbing mountain complex. Each of these watersheds flows towards the southern coast of Java, eventually emptying into the Indian Ocean.
",4.6,hiking,https://storage.googleapis.com/gonusa_image/gunung-sumbing.jpg
34,Mount Kendil,Wonosobo,Natural Tourism,"Mount Kendil is one of the new tourist attractions that is beginning to be recognised by nature lovers. Situated in a series of Menoreh hills, Mount Kendil offers a natural panorama that will refresh the eyes. Mount Kendil is about 1,800 metres above sea level (masl). The mountain looks like a hill, which is why many people refer to it as Sikendil Hill.",4.1,hiking,https://storage.googleapis.com/gonusa_image/gunung-kendil.jpg
35,Sigrowong Pine Forest,Temanggung,Natural Tourism,"Sigrowong Pine Forest is located in Tlogopucang Forest Management Resort (RPH), Candiroto Forest Management Unit (BKPH) or Gesing Village area, Kandangan District, Temanggung Regency, Central Java. This forest area has an off-road track that will challenge your adrenaline. There is also a safe and comfortable camping area. Abundant water sources make this campsite suitable for all groups. The manager has also built pavilions right above the pine trees, which is a special attraction for those who just come to admire the beauty of the forest and take selfies.",4,hiking,
36,Mount Andong,Magelang,Natural Tourism,"Mount Andong is a mountain in Magelang Regency, Central Java. Etymologically, Mount Andong has active volcanic magma activity and is also a shield-type mountain that surrounds Magelang Regency. Climbing Mount Andong is safe for all ages.  Mount Andong has four peaks that are lined up from west to east. The four peaks are Puncak Makam, Jiwa, Andong and Alap-alapap, a beautiful 360 degree view.",4.7,hiking,https://storage.googleapis.com/gonusa_image/gunung-andong.jpg
37,Mount Merbabu,Magelang,Natural Tourism,"Mount Merbabu is a stratovulcano-type volcano geographically located at 7.5° N and 110.4° E. Administratively, the mountain is located in Magelang Regency on the western slope and Boyolali Regency on the eastern and southern slopes, Semarang Regency on the northern slope, Central Java Province. Administratively, the mountain is located in Magelang Regency on the western slope and Boyolali Regency on the eastern and southern slopes, Semarang Regency on the northern slope, Central Java Province. Mount Merbabu is known from pre-Islamic texts as Mount Damalung or Mount Pam(a)rihan. There was once a famous hermitage on its slopes, visited by Bujangga Manik in the 15th century. Etymologically, ""merbabu"" comes from the combination of the words ""meru"" (mountain) and ""abu"" (ash).",4.6,hiking,https://storage.googleapis.com/gonusa_image/gunung-merbabu.jpg
38,Mount Giyanti,Magelang,Natural Tourism,"Giyanti Hill is a natural and religious tourist attraction located in Pasangsari Village, Windusari Subdistrict, Magelang District, Central Java Province. At the top of Giyanti Hill, there are three graves of scholars who spread Islam in the region, namely Sheikh Baha'uddin, Kyai Raden Makno and Kyai Kudi. Every year, on the Thursday of the last week of Shawwal, a large anniversary celebration is held to honour the achievements of the three scholars, which is attended by villagers from Pasangsari and people from various regions around Windusari sub-district. The place is packed with pilgrims. In addition to the Ngalap blessings, there is also a great recitation.",4.6,hiking,https://storage.googleapis.com/gonusa_image/gunung-giyanti.jpg
39,Sepikul Mountain,Sukoharjo,Natural Tourism,"Mount Sepikul is a tourist attraction located in Tiyaran village, Bulu regency, Sukoharjo. Mount Sepikul is about 20.5 kilometres (km) with a driving time of about half an hour from the centre of Sukoharjo Regency. Mount Sepikul in Sukoharjo consists of two hills of ancient fire rocks. The mountain was formed by the eruption of a volcano in Tenongan, Krisak.",4.5,hiking,
40,Mount Ungaran,Semarang,Natural Tourism,"Mount Ungaran is an eroded stratovolcano located south of the city of Semarang, Central Java, Indonesia. There are no historical records of the mountain's activity. Two active fumarole fields are located on the southern flank. Ungaran lies on the eastern side of the volcano, while Ambarawa lies on its southern flank. Bandungan and its surroundings, including the Gedong Songo temple complex, are tourist attractions on the volcano. Lake Rawa Pening lies to the south-east of the volcano.",4.6,hiking,https://storage.googleapis.com/gonusa_image/gunung-ungaran.jpg
41,Sate Kambing & Tengkleng Rica Rica Pak Manto,Surakarta,Food and Culinary,"Warung Sate Kambing Pak Manto is located at Jl Honggowongso No 36, Sriwedari, Laweyan, Solo, Central Java. This stall serves a variety of goat preparations, ranging from satay, tengkleng, rica-rica to curry. Thengkleng Rica-rica. Goat bones cooked in rica-rica, a favourite of the president and his ministers. The price here is pocket-friendly, starting at IDR 40,000.",4.4,culinary tour,https://storage.googleapis.com/gonusa_image/kuliner-sate-kambing-dan-tengkleng-rica-rica-pak-manto.jpg
42,Warung Selat Solo Mbak Lies,Surakarta,Food and Culinary,"Warung Selat Solo Mbak Lies is located in Serengan Gg II/ 42 Solo. Selat Solo Mbak Lies has a very interesting interior design, with various European-style knick-knacks scattered around the room and ceramic plates adorning the front wall. The interior of the shop is very unique because it is full of various ornaments, most of which are made of ceramics. The staff wear European-style uniforms as well as Javanese uniforms.",4.4,culinary tour,
43,Pasar Gede,Surakarta,Food and Culinary,"Pasar Gede Hardjonagoro is the largest market in the city of Surakarta. Pasar Gede literally means ""big market"" in Javanese. Pasar Gede was originally a small market built on an area of 10,421 hectares at the intersection of the Governor's Office, which is now the Surakarta City Hall. The building was designed by Dutch architect Ir. Thomas Karsten.[1] The market building was completed in 1930 and named Pasar Gedhé Hardjanagara. The market was called pasar gedhé or ""big market"" because it consisted of a large roof. Over time, it became the largest and grandest market in Surakarta. Pasar gede consists of two buildings separated by a street, now called Sudirman Street. Each building has two floors. The gate of the main building looks like the roof of a throne and is called Pasar Gedhé in Javanese.",4.6,culinary tour,
44,Serabi Notosuman,Surakarta,Food and Culinary,"Serabi itself is a moist cake, which can be served open or rolled up in leaves. Made from rice flour, coconut milk, sugar and pandan, serabi has a chewy and soft texture. Serabi Notosuman Mrs. Lidia sells two flavors, namely regular serabi and chocolate serabi. As for the price, regular pancakes are IDR 2,300 per piece, while chocolate ones are IDR 2,500 per piece. You can buy Serabi Notosuman Ny. Lidia is on Jalan Moh. Yamin No. 28, Surakarta. Open from 05.00 - 16.00 WIB.",4.6,culinary tour,https://storage.googleapis.com/gonusa_image/kuliner-%20serabi-notosuman.jpg
45,Sambel Tumpang Pecel Bu Kis,Surakarta,Food and Culinary,"Sambel Tumpang is one of Solo's culinary delights that you shouldn't miss. You can try this food at Warung Pecel Bu Kis which is right behind the Solo District Court near the PKU Muhammadiyah Hospital. Even though this stall is like other pecel stalls. However, this stall has a very special mainstay menu, namely chili sauce which tastes savory, sweet and slightly spicy.",4.4,culinary tour,https://storage.googleapis.com/gonusa_image/kuliner-sambel-tumpang-pecel-bu-kris.jpg
46,Timlo Sastro 1,Surakarta,Food and Culinary,"Warung Timlo Sastro, a legendary timlo stall located around the Pasar Gede complex in Solo. Timlo is a soup-like dish with a clear broth that is spicy and refreshing. The difference is that the contents of timlo are not vegetables, but pieces of fried Solo sausage, chicken, eggs and offal. Other versions include miso and ear mushrooms. Timlo Sastro has been selling this Solo speciality for more than 60 years and still has many fans. Since 1952, Pak Sastro has been operating from a street-side tent on the west side of the market. But after renovations in 1958, Timlo Sastro moved to the back corner of Pasar Gede. After Pak Sastro's death, the business is now run by his children. The speciality of Timlo Sastro is the chicken broth, which has a strong flavour and is generously stuffed.",4.5,culinary tour,
47,Es Krim Tentrem,Surakarta,Food and Culinary,"Tentrem Ice Cream is one of the ice cream shops in Solo that offers home-made ice cream. This ice cream shop has been around since 1952, my friend, wow, it's really old school, right? Previously, Tentrem Ice Cream was located in Kepatihan, Jebres but has now moved to Jl. Slamet Riyadi No. 132, Keparbon with new branding as New Tentrem Ice Cream.",4.3,culinary tour,https://storage.googleapis.com/gonusa_image/kuliner-es-krim-tentrem.jpg
48,Gudeg Yu Djum Pusat,Yogyakarta,Food and Culinary,"Gudeg Yu Djum Pusat is the main kitchen and traditional culinary food stall in Yogyakarta, started by an unyielding person named Djuwariyah or better known as ""Yu Djum"", since 1951.",4.4,culinary tour,https://storage.googleapis.com/gonusa_image/kuliner-gudeg-yu-djum-pusat.jpg
49,Mie Ayam Tumini,Yogyakarta,Food and Culinary,Mie Ayam Tumini Jogja is one of Jogja's culinary tours that has a taste that is not owned by other shops. The most obvious characteristic is the thick chocolate sauce with various toppings. Mie Ayam Tumini is open from 10:00 am to 4:00 pm. Prices start from IDR 10.000.,4.5,culinary tour,https://storage.googleapis.com/gonusa_image/kuliner-mie-ayam-tumini.jpg
50,Kedai Bebek Goreng H. Slamet,Sukoharjo,Food and Culinary,"Bebek Goreng H. Slamet (original) - Kartasura Sukoharjo is located on Jl. A. Yani No.136 Ngabeyan Central Java. This restaurant serves various types of food / drinks such as: Various Rice, Various Chicken Duck with affordable prices. ",4.6,culinary tour,
51,Simpang Lima Semarang Culinary,Semarang,Food and Culinary,"A bustling street food venue offering a wide range of food options. The Simpang Lima area, the centre of Semarang City, Central Java, is no longer monotonous at night. The large pedestrian street of Simpang Lima turns into a culinary paradise in the centre of Semarang at night.",4.7,culinary tour,
52,Gethuk Kethek 'Satu Rasa',Salatiga,Food and Culinary,"Gethuk Kethek 'Satu Rasa' is a Salatiga culinary specialty. Getuk is one of the traditional foods made from cassava. Getuk, has its own characteristics in each region. Gethuk Kethek 'Satu Rasa' is priced at Rp14,000 per box of 20 pieces.",4.6,culinary tour,
53,RM Bakso Babat Tamansari,Salatiga,Food and Culinary,"Established in 1965, Bakso Babat Taman Sari is a historic culinary specialty of Salatiga. Bakso Babat Taman Sari is located on Jalan Diponegoro No.105, Sidorejo Lor, Sidorejo, Salatiga City. The clear savory broth is the hallmark of this food stall. The menu is varied, including Bakso Babat, Bakso Kikil, Bakso Campur, Bakso Bihun, Bakso Bakmi, and Bakso Pangsit. Open every day from 08.00 - 17.00 WIB.",4.3,culinary tour,
54,Enting-Enting Gepuk Cap Klenteng & 2 Hoolo,Salatiga,Food and Culinary,"Enting-enting gepuk, stamped ""Klenteng and 2 Hoolo"", is an enting-enting originating from Salatiga and is a great souvenir of Salatiga. Enting-enting gepuk is made from peanuts mixed with thick sugar.",5,culinary tour,
55,Wedang Ronde Wasis P. Medi,Temanggung,Food and Culinary,"Wedang Ronde Wasis P. Medi. is a culinary specialty of Temanggung. Wedang ronde typical of Temanggung is different from those in Yogyakarta and Solo. Wedang ronde wasis is given a mixture of emping. In addition to wedang ronde, this stall also offers various fried foods. Wedang Ronde Wasis P. Medi is located at Jl. Kapt. Tendean, North Dongkelan, Temanggung, opening hours at 16.00 - 21.00 WIB.",4.5,culinary tour,
56,Nasi Gandul Kasmaran,Pati,Food and Culinary,"Nasi Gandul or Sego Gandul (Javanese: Sega Gandul) is a speciality dish from the Pati region of Central Java, Indonesia, similar to Semur Daging and Gulai. At first glance, nasi gandul resembles a combination of soto and gule, consisting of meat in a brownish sauce with a sweet and savoury taste. One of the recommended nasi gandul restaurants is Nasi Gandul Kasmaran, this restaurant is very famous for its typical gandul rice, besides the many menu choices, the price is quite friendly. The opening hours of Nasi Gandul Kasmaran Pak Mutiman are from 08.00 to 21.00 WIB. ",4.5,culinary tour,https://storage.googleapis.com/gonusa_image/kuliner-nasi-gandul-kasmaran.jpg
57,Waroeng Pati,Pati,Food and Culinary,"Waroeng Pati is a restaurant that contains typical Pati cuisine and various other Indonesian dishes. Located on Jl. Raya Pati - Kudus, Lumpur, Margorejo, Kec. Margorejo, Pati Regency, Central Java. Open every day starting from 10 am - 9 pm.",4.4,culinary tour,
